SpMin1_Bh(p),TPSA(Tot),L1v,F06[C-C],F05[C-N],TPSA(NO),RDF115v,SM02_AEA(ri),Eig07_EA(ed),CATS2D_06_LL,GGI8,RDF045m,Mor26p,alvo
2.09313356134136,100.42,48.8134695676217,24,15,100.42,9.73950196014065,7.19114040271397,7.19114040271397,4,0.670477450239356,17.4810326285103,-0.377799144051951,5.756961951313706
2.09456508418728,100.42,49.9780655380244,26,17,100.42,10.397320129293,7.71051975127073,7.71051975127073,4,0.855898841017889,18.010342351841,-0.416852423694988,8.0
2.09528030953292,88.39,44.0413960312754,30,15,88.39,12.0904853057966,8.424317108596309,8.424317108596309,9,0.808523872511969,17.5057878306181,-0.358038075913603,6.259637310505756
2.09231636091756,88.39,35.9218481191427,27,12,88.39,7.57565631578402,6.84892460811135,6.84892460811135,7,0.513999118165785,15.9696609295415,-0.435206393419321,6.050609993355088
2.09184591237346,88.39,36.5868821123514,27,12,88.39,7.57945461618953,6.85990774001652,6.85990774001652,7,0.553043902746284,18.9146411338248,-0.512989583177006,5.889410289700751
2.09280371723642,88.39,36.658537054443,27,12,88.39,8.40899813385708,6.84892460811133,6.84892460811133,7,0.513999118165785,15.8950454765089,-0.33276708882268,6.008773924307505
2.09218640060216,88.39,35.7869154784257,27,12,88.39,7.4178591608385,6.05031813149528,6.05031813149528,7,0.474954333585286,13.084773719714,-0.378987565269465,6.309803919971486
2.09376289501069,88.39,38.2181507913524,28,13,88.39,8.19921742064905,6.8773384718708,6.8773384718708,7,0.571948223733938,13.2653957323823,-0.371659639238928,5.966576244513051
2.09958922659715,75.5,30.4545324954224,31,9,75.5,5.59032306629514,4.11973275516882,4.11973275516882,16,0.347718253968254,10.5128532045832,-0.153975978046787,4.522878745280337
2.09963352848223,75.5,31.3601550502592,31,9,75.5,5.13566054758505,5.62731081166064,5.62731081166064,12,0.389542391030486,10.5354724881247,-0.122521237526058,5.100179497572904
2.09334837401139,100.42,47.2539055358434,25,16,100.42,10.6260563370401,7.19926249088949,7.19926249088949,4,0.758904950869237,17.8073655017766,-0.349465303500747,7.221848749616356
2.09414241529169,88.39,45.6389931202095,29,14,88.39,8.79505548755622,7.07663049871263,7.07663049871263,9,0.711529982363316,17.1482528905026,-0.332958725941737,6.337242168318426
2.09336158898645,88.39,43.7749105962388,29,14,88.39,9.36591985547711,7.07663049871265,7.07663049871265,9,0.711529982363316,23.4139713407618,-0.418364749433482,5.609064892896621
2.09332913109663,97.62,37.6791443140774,28,13,97.62,9.9731360890185,7.08462297783164,7.08462297783164,9,0.596639581758629,21.3252653944626,-0.186115383205229,5.987162775294828
