F03[C-N],SpMin1_Bh(p),RNCG,SpDiam_B(p),F05[C-C],F06[C-N],CATS3D_07_LL,F10[N-Cl],nCb-,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
12,2.09299346952684,0.121133404872878,5.82834984313131,28,14,5,1,7,10,121.130195036492,-0.0487337045221198,0,6.356547323513813
14,2.09244823997926,0.110544958735799,5.82623081857974,25,17,2,0,7,11,136.090308307504,0.0341326880557631,0,5.421360790031928
14,2.09422151040059,0.0963308750250069,5.82841288369521,24,17,2,0,8,14,80.2100806068604,0.0984916313184124,0,6.920818753952375
14,2.09229262573043,0.0910605739631306,5.82549538266317,25,18,3,0,6,12,95.1701938778729,0.26446977175154,0,5.85078088734462
14,2.09243623032813,0.0868707688287794,5.82933762965224,25,18,3,0,8,12,125.090420419898,0.212859052179349,0,5.7121982700697735
14,2.09123414170093,0.0918685022905276,5.82946989391334,25,18,3,0,8,14,95.1701938778729,0.266441644968409,0,7.522878745280337
12,2.09470000639501,0.107598630252621,5.8305123076314,27,14,4,1,8,13,65.249967335848,-0.0567256738819103,0,5.785156151952302
13,2.09920015290761,0.119672194146179,5.81665556337621,30,10,13,2,6,10,50.2898540648355,-0.0813171426257856,0,4.522878745280337
13,2.0994241493746,0.116330831337114,5.81544467303677,30,10,10,1,6,9,65.249967335848,-0.0610578930295895,0,5.094743951251549
13,2.09927559450978,0.114718111759137,5.81726102049671,30,10,9,2,7,10,65.249967335848,-0.0488096834312031,0,5.13430394008393
9,2.08794145987161,0.156933298971348,5.81425414211818,21,8,11,0,5,7,25.1449270324178,-0.005992699942852,0,5.563837352959244
12,2.09283659612082,0.1093854263302,5.8268535756994,27,14,5,1,6,11,65.249967335848,-0.08586853273795,0,5.935542010773082
12,2.09297577905092,0.103395116743929,5.83065055133837,27,14,4,1,8,11,95.1701938778729,-0.0134127027342758,0,6.346787486224656
12,2.09162207236245,0.108182419471468,5.83369244955341,27,14,5,1,8,11,65.249967335848,-0.0503365930049936,1,4.633017024022149
12,2.09315556474637,0.0976861204636099,5.8282348162782,27,14,5,0,6,10,95.1701938778729,-0.0884768593508537,1,5.739928612014925
12,2.09329160306068,0.0928805240434246,5.83204439775843,27,14,5,0,8,10,125.090420419898,-0.0344094793820939,1,5.790484985457369
